Angle,Frequency_GHz,S11_TE_Re,S11_TE_Im,S11_TM_Re,S11_TM_Im,S21_TE_Re,S21_TE_Im,S21_TM_Re,S21_TM_Im
20.0,4.48,-0.04135925951383808,-0.19842157258464208,-0.0347744778227022,-0.18252402921897207,0.958200092970468,-0.2019032788210764,0.9647732851733251,-0.18622173461032437
20.0,4.5,-0.04179646410283896,-0.19942252144219727,-0.03514575615393539,-0.1834610360335887,0.9577586705196501,-0.2029187907594673,0.9643976806068614,-0.18717426530628262
20.0,4.52,-0.04223697816884301,-0.20042501117327227,-0.035519906334554284,-0.1843997400573079,0.9573139334695364,-0.20393581987197695,0.9640191782138741,-0.18812847698784985
20.0,4.54,-0.04268081258541259,-0.20142901228083684,-0.03589694291158394,-0.1853401379259677,0.9568658590739517,-0.20495436965413447,0.9636377618835313,-0.18908435921484051
20.0,4.56,-0.043127957671168046,-0.20243457244759389,-0.03627691302973728,-0.18628222013636786,0.9564144303578308,-0.20597442725222243,0.963253412215639,-0.1900419182806135
20.0,4.58,-0.04357849501313904,-0.203441647712696,-0.03665980344605792,-0.18722601146449389,0.9559596173481512,-0.20699602929928676,0.9628661042203401,-0.19100117673830241
20.0,4.6,-0.04403237996386544,-0.20445029457818312,-0.037045637632923796,-0.1881715527831425,0.9555014044264287,-0.2080191455257258,0.9624758172639671,-0.19196214042127374
20.0,4.62,-0.044489664315403056,-0.20546050071137287,-0.03743445528167504,-0.189118792411621,0.9550397636973306,-0.2090438127485225,0.9620825340431247,-0.1929247982596202
20.0,4.64,-0.044950400663713724,-0.20647225366948027,-0.037826280730396705,-0.1900677718575601,0.9545746736970105,-0.21007001664673303,0.9616862271330713,-0.19388918945238898
20.0,4.66,-0.04541457521587165,-0.20748558063610176,-0.038221092238787786,-0.19101847440070563,0.9541061137230268,-0.21109776041200093,0.9612868814346841,-0.19485528569515745
20.0,4.68,-0.04588224657118038,-0.2085004937813543,-0.03861898562296197,-0.1919709515505201,0.9536340523467531,-0.21212707966536984,0.9608844693847145,-0.195823125928818
20.0,4.7,-0.046353385218330524,-0.2095169494457121,-0.039019901538563787,-0.19292517196892187,0.9531584739533524,-0.2131579435228414,0.9604789724470838,-0.19679269840616226
20.0,4.72,-0.04682806105921484,-0.21053500842587164,-0.039423932558403915,-0.19388116597276833,0.9526793518342599,-0.2141903709116723,0.960070364111013,-0.19776402457339204
20.0,4.74,-0.04730624984621292,-0.21155465190028586,-0.03983106188685095,-0.19483894039966798,0.9521966607504814,-0.2152243634730203,0.9596586245494051,-0.1987371096600513
20.0,4.76,-0.047788048826021924,-0.21257588505915948,-0.04024130171690334,-0.1957984730209368,0.9517103787327994,-0.2162599234464171,0.9592437340705658,-0.19971194135117448
20.0,4.78,-0.04827343961850985,-0.2135987137951866,-0.04065471255229287,-0.19675980224617273,0.951220474013114,-0.21729708563984668,0.9588256625118464,-0.20068855743798988
20.0,4.8,-0.048762408869698105,-0.214623169272147,-0.04107131683346777,-0.19772295170473553,0.9507269288079163,-0.2183358180223469,0.9584043887897327,-0.20166696253519212
20.0,4.82,-0.049255082074356075,-0.21564919965472482,-0.0414910883128139,-0.1986878843076124,0.950229715070406,-0.2193761384870782,0.9579798966541055,-0.20264712723117398
20.0,4.84,-0.04975137706232532,-0.21667687876491992,-0.04191408880408833,-0.19965463990754262,0.9497288096040589,-0.2204180484230495,0.9575521510892732,-0.20362910537211582
20.0,4.86,-0.05025137694732547,-0.21770613853221732,-0.04234037156757804,-0.20062321298269345,0.949224183142087,-0.22146156513296672,0.9571211344364166,-0.20461288446663345
20.0,4.88,-0.05075511297722728,-0.21873702792034105,-0.042769880198402846,-0.2015935971235059,0.9487158151897713,-0.22250667286989523,0.9566868232806063,-0.20559846815500862
20.0,4.9,-0.051262611104964856,-0.21976957177205,-0.0432027181878975,-0.20256584942656297,0.9482036703291752,-0.22355340464804452,0.9562491894712155,-0.2065858763972759
20.0,4.92,-0.05177384124653594,-0.22080372841378162,-0.043638859432212844,-0.20353993364075312,0.9476877302032178,-0.2246017449164497,0.9558082120075369,-0.20757509562120788
20.0,4.94,-0.052288906487702076,-0.2218395050568941,-0.04407832273465233,-0.20451585255339366,0.947167967117604,-0.2256516932499295,0.9553638623107451,-0.20856616289002716
20.0,4.96,-0.052807795051673025,-0.22287693655681412,-0.04452117316025233,-0.20549364873299839,0.9466443526838233,-0.2267032663610049,0.9549161171068504,-0.2095590638733863
20.0,4.98,-0.05333052777457903,-0.22391602376088496,-0.04496743062580752,-0.2064733258817747,0.9461168602227736,-0.22775646373437725,0.9544649502153182,-0.21055381840933574
20.0,5.0,-0.05385712565298051,-0.22495676775913578,-0.04541710997573901,-0.20745486405560526,0.9455854630470276,-0.22881128469006995,0.954010340544446,-0.21155041238380254
20.0,5.02,-0.05438764302930243,-0.2259991343745754,-0.045870231285793255,-0.20843826709452162,0.9450501315376111,-0.2298677451414227,0.9535522548203819,-0.2125488812554634
20.0,5.04,-0.054922114237593765,-0.2270431768263119,-0.04632682545801821,-0.20942358730038282,0.9445108400226958,-0.2309258443177207,0.9530906718860755,-0.21354921061318405
20.0,5.06,-0.0554605551201979,-0.2280888707603611,-0.04678690243376879,-0.21041078122868323,0.9439675595612007,-0.23198558048412898,0.9526255604930608,-0.21455143606015356
20.0,5.08,-0.05600295434911825,-0.22913625412229868,-0.04725053055248987,-0.21139989387702343,0.9434202593162507,-0.2330469687298015,0.9521569009869209,-0.2155555257761345
20.0,5.1,-0.056549414306136,-0.23018530985959637,-0.047717694316907276,-0.21239093882729612,0.9428689135433502,-0.23411000774920654,0.9516846609070255,-0.21656151478970623
20.0,5.12,-0.05709991137157255,-0.23123602368121482,-0.04818844665023534,-0.21338388884900505,0.9423134984259172,-0.2351746790828499,0.9512088152240435,-0.21756940471277086
20.0,5.14,-0.05765446830206223,-0.23228839812719387,-0.048662809315474786,-0.2143787493490964,0.9417539737280357,-0.23624102988044218,0.9507293356024616,-0.2185791962538602
20.0,5.16,-0.05821316216941709,-0.23334247955935133,-0.04914080991279107,-0.21537555077951034,0.9411903186155807,-0.23730902458889996,0.9502461942349262,-0.21959090755439176
20.0,5.18,-0.05877596936814644,-0.234398254731903,-0.04962247073358938,-0.2163742993918913,0.9406224979305223,-0.2383786937668119,0.9497593626961597,-0.2206045389838666
